"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","Bin%","Cat%","Cont%","BinRank%","CatRank%","ContRank%"
"RPP40",10399,"8.48e-01","8.33e-01","5.42e-01","11426","13799","7570","0.762","0.852","0.544","0.705","0.851","0.544"
"LRRC19",10400,"9.41e-01","7.29e-01","8.06e-02","13629","12336","1257","0.909","0.761","0.0904","0.841","0.761","0.0904"
"SLC4A11",10401,"6.95e-01","1.28e-01","6.38e-01","8991","3353","8898","0.6","0.207","0.64","0.555","0.207","0.64"
"EXOC3L4",10402,"9.15e-01","5.95e-01","7.72e-01","13008","10616","10736","0.868","0.655","0.772","0.803","0.655","0.772"
"RFC3",10403,"8.25e-02","6.55e-01","5.63e-01","2446","11377","7861","0.163","0.702","0.565","0.151","0.702","0.565"
"STEAP4",10404,"1.01e-01","6.72e-02","1.09e-01","2870","1997","1651","0.192","0.123","0.119","0.177","0.123","0.119"
"RBBP7",10405,"5.97e-01","3.19e-03","4.42e-01","8005","180","6213","0.534","0.0111","0.447","0.494","0.0111","0.447"
"ANKRD16",10406,"9.33e-01","7.8e-01","5.36e-01","13468","13031","7497","0.899","0.804","0.539","0.831","0.804","0.539"
"KL",10407,"1.22e-01","8.13e-01","6.35e-01","3333","13517","8854","0.222","0.834","0.636","0.206","0.834","0.636"
"ELAVL2",10408,"NA","4.74e-01","NA","15812","8956","NA","NA","0.553","NA","0.976","0.553","NA"
"ITPA",10409,"8.1e-01","3.91e-01","3.29e-01","10666","7731","4666","0.712","0.477","0.335","0.658","0.477","0.335"
"ECI2",10410,"9.13e-02","2.55e-01","5.64e-02","2668","5670","910","0.178","0.35","0.0654","0.165","0.35","0.0654"
"N4BP2L1",10411,"8.18e-01","9.97e-01","7.2e-01","10821","16148","10042","0.722","0.997","0.722","0.668","0.996","0.722"
"BRCA2",10412,"9.49e-01","9.19e-01","9.52e-01","13806","14959","13241","0.921","0.923","0.952","0.852","0.923","0.952"
"SYAP1",10413,"3.51e-01","3.75e-01","7.94e-01","6101","7505","11045","0.407","0.463","0.794","0.376","0.463","0.794"
"ATRAID",10414,"9.63e-01","3.08e-01","3.54e-01","14122","6508","5007","0.942","0.402","0.36","0.871","0.402","0.36"
"ALOX15B",10415,"7.09e-02","2.34e-02","NA","2116","836","NA","0.141","0.0516","NA","0.131","0.0516","NA"
"UBQLNL",10416,"3.26e-01","1.88e-01","2.66e-01","5898","4517","3793","0.394","0.279","0.273","0.364","0.279","0.273"
"GDI2",10417,"1.11e-01","1.51e-01","7.24e-01","3083","3830","10103","0.206","0.236","0.726","0.19","0.236","0.726"
"OR51I1",10418,"8.85e-01","9.17e-01","5.67e-01","12288","14941","7923","0.82","0.922","0.57","0.758","0.922","0.57"
"OR51B6",10419,"5.12e-01","8.59e-01","4.99e-01","7332","14164","6989","0.489","0.874","0.502","0.452","0.874","0.502"
"OR51B4",10420,"9.71e-01","8.31e-01","NA","14329","13773","NA","0.956","0.85","NA","0.884","0.85","NA"
"CCDC85C",10421,"9.65e-01","4.51e-01","2.55e-01","14178","8615","3634","0.946","0.532","0.261","0.875","0.531","0.261"
"FOCAD",10422,"6.94e-01","3.75e-01","3.52e-01","8963","7510","4963","0.598","0.464","0.357","0.553","0.463","0.357"
"CNTROB",10423,"1.73e-02","6.44e-03","2.5e-01","405","287","3577","0.027","0.0177","0.257","0.025","0.0177","0.257"
"FASTKD5",10424,"6.5e-01","2.93e-01","2.99e-01","8520","6257","4229","0.569","0.386","0.304","0.526","0.386","0.304"
"PXDC1",10425,"9.61e-01","7.14e-01","6.09e-01","14090","12141","8503","0.94","0.749","0.611","0.869","0.749","0.611"
"GRPR",10426,"1.77e-01","1.85e-01","5.13e-02","4273","4464","833","0.285","0.276","0.0599","0.264","0.275","0.0599"
"AP1S2",10427,"9.04e-01","6.26e-02","9.53e-01","12728","1889","13256","0.849","0.117","0.953","0.785","0.117","0.953"
"AVP",10428,"1.06e-01","7.74e-01","NA","2980","12941","NA","0.199","0.799","NA","0.184","0.798","NA"
"BCL7C",10429,"5.01e-01","8.57e-01","3.24e-01","7247","14149","4573","0.484","0.873","0.329","0.447","0.873","0.329"
"EMILIN1",10430,"1.64e-02","4.33e-01","9.96e-01","370","8347","13849","0.0247","0.515","0.995","0.0228","0.515","0.995"
"USP3",10431,"9.52e-01","3.76e-01","6.62e-01","13875","7527","9245","0.926","0.465","0.665","0.856","0.464","0.665"
"MRPS26",10432,"4.32e-02","9.91e-01","8.23e-01","1281","16062","11457","0.0855","0.991","0.824","0.079","0.991","0.824"
"CALML5",10433,"9.36e-01","2.95e-01","6.79e-01","13527","6283","9483","0.903","0.388","0.682","0.835","0.388","0.682"
"MLLT3",10434,"4.05e-02","6.57e-01","5.34e-02","1207","11410","875","0.0805","0.704","0.0629","0.0745","0.704","0.0629"
"LHFPL2",10435,"3.7e-01","2.28e-01","8.47e-01","6242","5202","11793","0.417","0.321","0.848","0.385","0.321","0.848"
"CHD3",10436,"6.65e-01","2.17e-01","6.17e-01","8641","5012","8609","0.577","0.309","0.619","0.533","0.309","0.619"
"BPHL",10437,"4.92e-01","7.58e-01","8.49e-01","7189","12714","11809","0.48","0.785","0.849","0.444","0.784","0.849"
"PTPRA",10438,"9e-01","4.36e-01","8.19e-01","12644","8392","11393","0.844","0.518","0.819","0.78","0.518","0.819"
"RPS6",10439,"NA","3.41e-02","NA","15813","1128","NA","NA","0.0696","NA","0.976","0.0696","NA"
"ZNF768",10440,"7.48e-01","2.4e-01","7.39e-01","9660","5414","10314","0.645","0.334","0.741","0.596","0.334","0.741"
"TUBAL3",10441,"9.32e-01","8.87e-01","6.17e-01","13437","14541","8597","0.897","0.897","0.618","0.829","0.897","0.618"
"PIR",10442,"6.6e-01","1.61e-01","5.55e-01","8604","4013","7766","0.574","0.248","0.558","0.531","0.248","0.558"
"UCN3",10443,"2.14e-01","4.42e-01","7.23e-01","4794","8465","10087","0.32","0.522","0.725","0.296","0.522","0.725"
"VPS16",10444,"2.77e-02","2.98e-01","7.84e-01","771","6326","10895","0.0514","0.39","0.783","0.0476","0.39","0.783"
"SHBG",10445,"2.89e-01","1.96e-02","3.83e-01","5571","729","5416","0.372","0.045","0.389","0.344","0.045","0.389"
"NQO2",10446,"9.74e-01","8.96e-01","8.97e-01","14386","14654","12496","0.96","0.904","0.898","0.888","0.904","0.898"
"TEX26",10447,"7.86e-02","3.34e-01","4.9e-01","2329","6886","6858","0.155","0.425","0.493","0.144","0.425","0.493"
"MEDAG",10448,"9.02e-01","4.69e-01","4.72e-01","12701","8886","6613","0.848","0.548","0.475","0.784","0.548","0.475"
"C2CD2",10449,"6.66e-02","7.72e-01","8.01e-01","2005","12916","11139","0.134","0.797","0.801","0.124","0.797","0.801"
"ASB9",10450,"1.13e-01","9.91e-01","4.5e-01","3139","16064","6326","0.209","0.991","0.455","0.194","0.991","0.455"
"MOSPD2",10451,"8.73e-01","6.22e-01","7.38e-01","11994","10972","10288","0.8","0.677","0.74","0.74","0.677","0.74"
"TLCD3B",10452,"2.55e-01","4.33e-01","4.41e-01","5246","8350","6192","0.35","0.515","0.445","0.324","0.515","0.445"
"HAUS6",10453,"1.08e-01","1.33e-01","4.7e-01","3020","3444","6589","0.202","0.213","0.474","0.186","0.212","0.474"
"SLTM",10454,"6.22e-01","2.96e-01","3.79e-01","8232","6296","5373","0.549","0.389","0.386","0.508","0.388","0.386"
"COL2A1",10455,"8.86e-01","3.38e-01","8.29e-01","12320","6944","11544","0.822","0.429","0.83","0.76","0.428","0.83"
"GEMIN8",10456,"8.44e-01","8.59e-01","4.56e-01","11343","14171","6391","0.757","0.875","0.459","0.7","0.874","0.459"
"CARS1",10457,"1.8e-01","3.26e-01","7.69e-01","4330","6761","10681","0.289","0.417","0.768","0.267","0.417","0.768"
"RRAGA",10458,"NA","8.18e-02","NA","15814","2297","NA","NA","0.142","NA","0.976","0.142","NA"
"SAXO1",10459,"8.56e-03","6.53e-01","9.77e-01","127","11360","13605","0.00847","0.701","0.978","0.00784","0.701","0.978"
"ADAMTSL1",10460,"1.4e-01","5.51e-01","4.29e-01","3675","10035","6025","0.245","0.619","0.433","0.227","0.619","0.433"
"OFD1",10461,"1.71e-01","2.82e-01","1.12e-01","4181","6087","1696","0.279","0.376","0.122","0.258","0.376","0.122"
"ADRA1A",10462,"8.34e-01","5.67e-01","1.36e-01","11127","10258","1987","0.742","0.633","0.143","0.686","0.633","0.143"
"IGSF5",10463,"9.28e-01","5.27e-01","2.84e-01","13332","9722","4036","0.89","0.6","0.29","0.823","0.6","0.29"
"C20orf141",10464,"3.07e-01","1.11e-01","7.26e-01","5731","2989","10123","0.382","0.184","0.728","0.354","0.184","0.728"
"BTF3",10465,"NA","4.06e-01","NA","15815","7957","NA","NA","0.491","NA","0.976","0.491","NA"
"CPXM1",10466,"3.12e-01","1.65e-01","8.25e-01","5779","4068","11473","0.386","0.251","0.825","0.357","0.251","0.825"
"SH3GL2",10467,"3.13e-01","9.68e-01","4.84e-01","5787","15695","6759","0.386","0.969","0.486","0.357","0.968","0.486"
"KATNAL1",10468,"5.98e-02","2.91e-01","4.17e-01","1806","6237","5854","0.121","0.385","0.421","0.111","0.385","0.421"
"B3GALT5",10469,"1.13e-01","7.66e-02","3.11e-03","3127","2186","102","0.209","0.135","0.00733","0.193","0.135","0.00733"
"BNIP3L",10470,"1.2e-01","6.43e-01","5.75e-01","3295","11223","8043","0.22","0.693","0.578","0.203","0.692","0.578"
"PTCD2",10471,"9.17e-01","2.21e-01","1.46e-01","13042","5082","2122","0.87","0.314","0.153","0.805","0.314","0.153"
"CNTLN",10472,"2.3e-02","9.59e-01","1.84e-01","593","15574","2666","0.0396","0.961","0.192","0.0366","0.961","0.192"
"TLR7",10473,"1.77e-01","9.5e-01","6.84e-01","4285","15419","9552","0.286","0.952","0.687","0.264","0.951","0.687"
"PRPS2",10474,"2.51e-02","1.48e-01","NA","675","3759","NA","0.045","0.232","NA","0.0416","0.232","NA"
"BNC2",10475,"3.36e-01","9.48e-01","6.7e-01","5986","15380","9352","0.399","0.949","0.672","0.369","0.949","0.672"
"UBL3",10476,"NA","3.83e-01","NA","15816","7635","NA","NA","0.471","NA","0.976","0.471","NA"
"CCDC171",10477,"6.65e-01","2.72e-01","2.86e-01","8646","5924","4053","0.577","0.366","0.291","0.533","0.365","0.291"
"PDE4A",10478,"9.83e-01","4.88e-01","3.84e-01","14588","9173","5424","0.973","0.566","0.39","0.9","0.566","0.39"
"SMN1",10479,"9.96e-01","7.85e-01","7.83e-01","14824","13096","10888","0.989","0.808","0.783","0.915","0.808","0.783"
"GPS2",10480,"5.04e-01","2.62e-02","3.36e-01","7266","905","4749","0.485","0.0559","0.341","0.448","0.0558","0.341"
"PSIP1",10481,"7.13e-02","8.56e-01","1.47e-01","2131","14115","2140","0.142","0.871","0.154","0.131","0.871","0.154"
"SERPINB1",10482,"9.62e-01","9.22e-01","3.99e-01","14100","15012","5610","0.941","0.927","0.403","0.87","0.926","0.403"
"SMN2",10483,"9.47e-01","4.76e-01","6.19e-01","13746","8978","8634","0.917","0.554","0.621","0.848","0.554","0.621"
"HMGN1",10484,"1.76e-02","3.94e-01","6.88e-01","415","7762","9602","0.0277","0.479","0.69","0.0256","0.479","0.69"
"SLC7A1",10485,"6.6e-01","8.66e-01","2.85e-01","8606","14252","4039","0.574","0.88","0.29","0.531","0.879","0.29"
"ICAM4",10486,"6.65e-01","2.99e-01","1.93e-01","8649","6356","2788","0.577","0.392","0.2","0.534","0.392","0.2"
"WRNIP1",10487,"9.69e-01","9.41e-01","7.47e-01","14275","15286","10420","0.953","0.943","0.749","0.881","0.943","0.749"
"MID1",10488,"7.92e-01","3.51e-01","5.04e-01","10334","7149","7048","0.69","0.441","0.507","0.638","0.441","0.507"
"ADAM7",10489,"7.49e-02","9.22e-01","7.06e-01","2227","15006","9850","0.149","0.926","0.708","0.137","0.926","0.708"
"GMDS",10490,"9.3e-01","5.86e-01","2.62e-01","13378","10520","3748","0.893","0.649","0.269","0.825","0.649","0.269"
"SBF1",10491,"7.24e-01","9.36e-02","3.42e-01","9331","2593","4829","0.623","0.16","0.347","0.576","0.16","0.347"
"AK6",10492,"6.02e-01","4.77e-02","3.32e-01","8057","1522","4704","0.538","0.0939","0.338","0.497","0.0939","0.338"
"CENPO",10493,"5.99e-01","3.64e-01","5.81e-01","8029","7338","8115","0.536","0.453","0.583","0.495","0.453","0.583"
"NOXRED1",10494,"5.16e-01","7.05e-01","2.64e-01","7373","12028","3771","0.492","0.742","0.271","0.455","0.742","0.271"
"POMP",10495,"5.28e-01","1.11e-01","9.17e-01","7456","3003","12778","0.498","0.185","0.918","0.46","0.185","0.918"
"WWC3",10496,"5.54e-02","8.99e-02","3.34e-01","1673","2490","4721","0.112","0.154","0.339","0.103","0.154","0.339"
"NKX3-1",10497,"4.77e-01","1.08e-01","8.22e-01","7083","2934","11431","0.473","0.181","0.822","0.437","0.181","0.822"
"ESRRB",10498,"2.6e-02","1.59e-01","3.27e-01","710","3972","4635","0.0474","0.245","0.333","0.0438","0.245","0.333"
"CER1",10499,"5.93e-01","9.41e-01","6.55e-01","7973","15266","9138","0.532","0.942","0.657","0.492","0.942","0.657"
"SHROOM2",10500,"9.03e-02","5.63e-01","NA","2641","10202","NA","0.176","0.63","NA","0.163","0.629","NA"
"ZDHHC21",10501,"NA","2.96e-01","4.85e-01","15817","6300","6776","NA","0.389","0.487","0.976","0.389","0.487"
"CEP152",10502,"9.22e-01","2.2e-01","7.91e-01","13176","5072","10997","0.879","0.313","0.79","0.813","0.313","0.79"
"IRF4",10503,"8.03e-01","3.36e-01","2.51e-01","10546","6918","3593","0.704","0.427","0.258","0.651","0.427","0.258"
"PAN3",10504,"1.59e-01","5.22e-03","1.68e-01","4010","246","2427","0.268","0.0152","0.174","0.247","0.0152","0.174"
"NLN",10505,"2.83e-01","4.36e-01","6.63e-01","5490","8388","9253","0.366","0.518","0.665","0.339","0.517","0.665"
"FKBP1B",10506,"NA","2e-01","NA","15818","4738","NA","NA","0.292","NA","0.976","0.292","NA"
"DNM1L",10507,"8.44e-01","7.03e-01","2.08e-01","11327","12009","2986","0.756","0.741","0.215","0.699","0.741","0.215"
"RUFY3",10508,"4.35e-01","3.27e-01","2.21e-01","6779","6791","3163","0.452","0.419","0.227","0.418","0.419","0.227"
"SGTB",10509,"2.96e-01","9.82e-01","3.6e-01","5629","15937","5080","0.376","0.984","0.365","0.347","0.983","0.365"
"CDX2",10510,"8.79e-01","1.99e-01","1.12e-01","12141","4700","1694","0.81","0.29","0.122","0.749","0.29","0.122"
"TTC38",10511,"3.77e-01","2.48e-01","5.75e-01","6303","5555","8036","0.421","0.343","0.578","0.389","0.343","0.578"
"PDX1",10512,"4.01e-01","8.97e-01","6.3e-01","6496","14669","8784","0.433","0.905","0.631","0.401","0.905","0.631"
"PNPLA4",10513,"8.67e-01","8.14e-01","9.2e-01","11865","13525","12834","0.792","0.835","0.923","0.732","0.834","0.923"
"ADAMTS6",10514,"6.14e-01","9.75e-02","4.4e-01","8167","2689","6182","0.545","0.166","0.444","0.504","0.166","0.444"
"CWC27",10515,"2.54e-01","4.23e-01","7.26e-03","5245","8211","193","0.35","0.507","0.0139","0.324","0.507","0.0139"
"PUDP",10516,"9.77e-01","3.9e-01","NA","14463","7725","NA","0.965","0.477","NA","0.892","0.477","NA"
"IGFBP3",10517,"2.28e-01","9.69e-01","6.81e-01","4959","15713","9507","0.331","0.97","0.683","0.306","0.969","0.683"
"LDAH",10518,"5.32e-01","1.64e-01","8.05e-01","7486","4066","11181","0.5","0.251","0.804","0.462","0.251","0.804"
"CCM2",10519,"4.21e-02","8.98e-03","4.79e-01","1246","393","6721","0.0831","0.0243","0.483","0.0769","0.0242","0.483"
"MTIF3",10520,"6.24e-01","8.59e-01","9.94e-01","8255","14167","13833","0.551","0.874","0.994","0.509","0.874","0.994"
"PFKP",10521,"9.61e-01","9.48e-01","3.82e-01","14089","15383","5399","0.94","0.949","0.388","0.869","0.949","0.388"
"ARSH",10522,"1.94e-01","7.16e-01","NA","4526","12165","NA","0.302","0.751","NA","0.279","0.751","NA"
"ARSL",10523,"1.12e-01","1.79e-02","NA","3119","681","NA","0.208","0.042","NA","0.192","0.042","NA"
"GTF3A",10524,"6.76e-01","5.71e-01","7.37e-01","8768","10315","10279","0.585","0.637","0.739","0.541","0.636","0.739"
"SDC1",10525,"5.2e-02","6.49e-01","9.68e-01","1560","11298","13474","0.104","0.697","0.969","0.0962","0.697","0.969"
"SLC5A3",10526,"2.34e-01","5.45e-01","1.83e-01","5024","9948","2642","0.335","0.614","0.19","0.31","0.614","0.19"
"ARSD",10527,"9.61e-01","4.56e-01","NA","14068","8686","NA","0.939","0.536","NA","0.868","0.536","NA"
"NPC1L1",10528,"2.14e-01","1.02e-01","7.92e-02","4795","2797","1244","0.32","0.173","0.0894","0.296","0.173","0.0894"
"GYG2",10529,"4.59e-01","1.53e-02","NA","6955","594","NA","0.464","0.0367","NA","0.429","0.0366","NA"
"SHISAL1",10530,"5.38e-01","7.97e-01","9.23e-01","7531","13273","12872","0.503","0.819","0.925","0.465","0.819","0.925"
"TH",10531,"5.79e-01","7.37e-01","2.5e-01","7872","12426","3569","0.525","0.767","0.257","0.486","0.767","0.257"
"PTPRD",10532,"1.12e-02","9.96e-02","3.12e-01","222","2734","4421","0.0148","0.169","0.318","0.0137","0.169","0.318"
"TECRL",10533,"9.84e-01","4.83e-01","1.1e-02","14606","9096","259","0.975","0.561","0.0186","0.901","0.561","0.0186"
"MTHFSD",10534,"3.11e-01","6.05e-01","2.36e-01","5771","10761","3381","0.385","0.664","0.243","0.356","0.664","0.243"
"ZBED1",10535,"7.43e-01","7.89e-02","NA","9600","2239","NA","0.641","0.138","NA","0.592","0.138","NA"
"MIER3",10536,"7.76e-01","9.09e-01","4.78e-01","10089","14829","6699","0.673","0.915","0.482","0.622","0.915","0.482"
"POLR2B",10537,"NA","8.52e-01","NA","15819","14079","NA","NA","0.869","NA","0.976","0.869","NA"
"ASMT",10538,"8.3e-01","4.66e-01","NA","11062","8831","NA","0.738","0.545","NA","0.682","0.545","NA"
"RDH14",10539,"8.52e-01","4.39e-01","7.68e-01","11536","8426","10675","0.77","0.52","0.767","0.712","0.52","0.767"
"KLHL42",10540,"8.52e-01","9.53e-02","6.17e-01","11518","2627","8604","0.769","0.162","0.618","0.711","0.162","0.618"
"MANSC4",10541,"7e-01","2.83e-01","3.24e-01","9059","6096","4587","0.604","0.376","0.33","0.559","0.376","0.33"
"EXOC1",10542,"6.98e-01","3.06e-01","4.36e-01","9030","6462","6131","0.603","0.399","0.441","0.557","0.399","0.441"
"IL6ST",10543,"8.04e-01","1.12e-01","7.11e-01","10568","3005","9912","0.705","0.185","0.712","0.652","0.185","0.712"
"KDM4C",10544,"2.43e-01","7.66e-01","2.72e-01","5118","12819","3880","0.342","0.791","0.279","0.316","0.791","0.279"
"ADARB2",10545,"4.04e-03","9.57e-01","8.18e-01","18","15538","11378","0.0012","0.959","0.818","0.00111","0.959","0.818"
"ASMTL",10546,"2.64e-02","2.36e-03","NA","730","142","NA","0.0487","0.00876","NA","0.045","0.00876","NA"
"ITSN1",10547,"6.21e-01","8.56e-02","9.92e-01","8224","2387","13802","0.549","0.147","0.992","0.507","0.147","0.992"
"CYRIA",10548,"NA","9.38e-01","NA","15820","15230","NA","NA","0.94","NA","0.976","0.94","NA"
"TMEM165",10549,"6.74e-02","9.16e-01","6.72e-01","2028","14934","9380","0.135","0.922","0.674","0.125","0.921","0.674"
"THUMPD1",10550,"8.88e-01","7.89e-01","2.98e-01","12367","13161","4212","0.825","0.812","0.303","0.763","0.812","0.303"
"ITPR2",10551,"2.42e-01","4.58e-01","5.65e-01","5104","8708","7892","0.341","0.537","0.567","0.315","0.537","0.567"
"DDX1",10552,"6.19e-01","8.22e-01","5.26e-01","8207","13651","7372","0.548","0.843","0.53","0.506","0.842","0.53"
"IDI1",10553,"7.57e-01","6.92e-01","2.89e-01","9793","11867","4091","0.653","0.732","0.294","0.604","0.732","0.294"
"RDH11",10554,"8.76e-01","2.42e-01","7.94e-01","12069","5456","11039","0.805","0.337","0.794","0.745","0.337","0.793"
"GP2",10555,"8.79e-01","5.03e-01","3.77e-01","12148","9384","5349","0.811","0.579","0.384","0.749","0.579","0.384"
"CDC20B",10556,"9.67e-01","6.99e-01","NA","14236","11954","NA","0.95","0.738","NA","0.878","0.737","NA"
"MBD3L4",10557,"9.5e-01","9.11e-01","NA","13828","14859","NA","0.923","0.917","NA","0.853","0.917","NA"
"CCP110",10558,"4.06e-01","1.95e-01","3.46e-01","6533","4627","4888","0.436","0.286","0.351","0.403","0.285","0.351"
"SLC25A6",10559,"7.21e-01","6.26e-01","NA","9301","11031","NA","0.621","0.681","NA","0.574","0.681","NA"
"ESM1",10560,"9.56e-01","6.23e-01","6.83e-01","13965","10978","9534","0.932","0.678","0.685","0.862","0.677","0.685"
"HR",10561,"9.96e-01","5.79e-01","1.53e-01","14830","10425","2238","0.99","0.643","0.161","0.915","0.643","0.161"
"SGCB",10562,"8.89e-01","8.53e-01","7.02e-01","12397","14095","9800","0.827","0.87","0.704","0.765","0.87","0.704"
"IL33",10563,"6.13e-02","5.53e-03","2.39e-01","1857","260","3413","0.124","0.016","0.245","0.115","0.016","0.245"
"ITPRIPL2",10564,"8.53e-01","1.56e-01","8.51e-01","11554","3917","11848","0.771","0.242","0.852","0.713","0.242","0.852"
"TGM3",10565,"1.97e-01","1.85e-01","9.68e-01","4576","4472","13470","0.305","0.276","0.968","0.282","0.276","0.968"
"KIAA2026",10566,"8.31e-01","8.12e-01","5.59e-01","11079","13484","7809","0.739","0.832","0.561","0.684","0.832","0.561"
"MLANA",10567,"8.41e-01","7.73e-01","2.97e-01","11281","12931","4208","0.753","0.798","0.302","0.696","0.798","0.302"
"DENND1C",10568,"2.26e-01","7.45e-01","3.37e-01","4928","12536","4759","0.329","0.774","0.342","0.304","0.773","0.342"
"STK35",10569,"2.91e-01","5.09e-01","9e-01","5584","9467","12534","0.373","0.584","0.901","0.344","0.584","0.901"
"GREB1",10570,"4.46e-02","4.24e-01","8.84e-01","1334","8220","12297","0.089","0.507","0.884","0.0823","0.507","0.884"
"TEC",10571,"7.62e-01","5.02e-01","4.1e-01","9863","9375","5765","0.658","0.579","0.414","0.608","0.578","0.414"
"MRPL23",10572,"8.71e-01","9.67e-01","8.65e-01","11952","15685","12052","0.798","0.968","0.866","0.737","0.968","0.866"
"E2F6",10573,"1.61e-01","8.03e-01","4.79e-01","4041","13351","6715","0.27","0.824","0.483","0.249","0.824","0.483"
"CDK8",10574,"NA","8.7e-01","NA","15821","14319","NA","NA","0.884","NA","0.976","0.883","NA"
"NPM2",10575,"3.38e-01","3.76e-02","5.92e-02","5998","1230","943","0.4","0.0759","0.0678","0.37","0.0759","0.0678"
"NPSR1",10576,"3.83e-02","1.67e-02","4.53e-01","1133","639","6356","0.0756","0.0394","0.457","0.0699","0.0394","0.457"
"CRYZL1",10577,"8.16e-01","6.67e-02","4.42e-01","10770","1983","6214","0.719","0.122","0.447","0.664","0.122","0.447"
"MYBBP1A",10578,"6.24e-01","7.34e-02","5.86e-01","8251","2124","8181","0.551","0.131","0.588","0.509","0.131","0.588"
"LZTS1",10579,"4.64e-02","6.77e-01","9.1e-01","1384","11671","12673","0.0924","0.72","0.911","0.0854","0.72","0.911"
